topic,year,papers_published
Aquaculture disease management and microbiota,1954,1
Malaria Research and Control,1954,1
Bird parasitology and diseases,1954,1
Vibration and Dynamic Analysis,1954,1
Industrial Vision Systems and Defect Detection,1954,1
Textile materials and evaluations,1954,1
Ecology and Vegetation Dynamics Studies,1954,1
Botany and Plant Ecology Studies,1954,1
"Botany, Ecology, and Taxonomy Studies",1954,1
Coastal wetland ecosystem dynamics,1954,1
Peatlands and Wetlands Ecology,1954,1
Lichen and fungal ecology,1954,1
Geophysical and Geoelectrical Methods,1954,1
Reservoir Engineering and Simulation Methods,1954,1
Geophysics and Gravity Measurements,1954,1
Sensor Technology and Measurement Systems,1954,1
Analytical Chemistry and Sensors,1954,1
Advanced Electrical Measurement Techniques,1954,1
Mass Spectrometry Techniques and Applications,1955,1
Molecular Sensors and Ion Detection,1955,1
Thyroid Disorders and Treatments,1955,1
Carcinogens and Genotoxicity Assessment,1955,1
Meteorological Phenomena and Simulations,1955,1
Climate variability and models,1955,1
Geophysics and Gravity Measurements,1955,1
Hermeneutics and Narrative Identity,1955,1
"Aging, Elder Care, and Social Issues",1955,1
"Health, Medicine and Society",1955,1
Color Science and Applications,1955,1
Pigment Synthesis and Properties,1955,1
Dyeing and Modifying Textile Fibers,1955,1
Structural Response to Dynamic Loads,1955,1
Structural Behavior of Reinforced Concrete,1955,1
Concrete Corrosion and Durability,1955,1
Viral Infections and Vectors,1956,1
Plant Virus Research Studies,1956,1
Mosquito-borne diseases and control,1956,1
Urban and spatial planning,1956,1
Musicology and Musical Analysis,1956,1
Brazilian cultural history and politics,1956,1
CCD and CMOS Imaging Sensors,1957,1
Infrared Target Detection Methodologies,1957,1
Thermography and Photoacoustic Techniques,1957,1
American Environmental and Regional History,1957,1
"Research, Science, and Academia",1957,1
Subcritical and Supercritical Water Processes,1957,1
Risk and Safety Analysis,1957,1
"Graphite, nuclear technology, radiation studies",1957,1
Nuclear reactor physics and engineering,1957,1
Medical and Biological Sciences,1957,1
"Law, Economics, and Judicial Systems",1957,1
Property Rights and Legal Doctrine,1957,1
Digital Transformation in Law,1957,1
3D Surveying and Cultural Heritage,1957,1
3D Modeling in Geospatial Applications,1957,1
Structural Engineering and Vibration Analysis,1957,1
Hemoglobinopathies and Related Disorders,1958,1
Prenatal Screening and Diagnostics,1958,1
Bone fractures and treatments,1958,1
Classical Philosophy and Thought,1958,1
Thyroid Disorders and Treatments,1959,1
Evolution and Genetic Dynamics,1959,1
Australian History and Society,1959,1
linguistics and terminology studies,1959,1
Linguistics and Discourse Analysis,1959,1
French Language Learning Methods,1959,1
Image and Video Quality Assessment,1960,1
Visual perception and processing mechanisms,1960,1
Color Science and Applications,1960,1
"Graphite, nuclear technology, radiation studies",1960,1
Dental Radiography and Imaging,1960,1
Dental materials and restorations,1960,1
Dental Implant Techniques and Outcomes,1960,1
Freshwater macroinvertebrate diversity and ecology,1960,1
Aquatic Invertebrate Ecology and Behavior,1960,1
Environmental DNA in Biodiversity Studies,1960,1
"Epistemology, Ethics, and Metaphysics",1960,1
Membrane-based Ion Separation Techniques,1960,1
Nanopore and Nanochannel Transport Studies,1960,1
Industrial Vision Systems and Defect Detection,1960,1
Genetic and phenotypic traits in livestock,1960,1
Sensory Analysis and Statistical Methods,1960,1
Matrix Theory and Algorithms,1961,1
Advanced Optimization Algorithms Research,1961,1
Electromagnetic Scattering and Analysis,1961,1
Language Development and Disorders,1961,1
Reading and Literacy Development,1961,1
Developmental and Educational Neuropsychology,1961,1
Latin American Cultural Politics,1961,1
Hydrology and Sediment Transport Processes,1961,1
Geological formations and processes,1961,1
Engineering and Material Science Research,1961,1
Global Cancer Incidence and Screening,1961,1
Advances in Oncology and Radiotherapy,1961,1
Subtitles and Audiovisual Media,1962,2
Spaceflight effects on biology,1962,1
Porphyrin Metabolism and Disorders,1962,1
Tardigrade Biology and Ecology,1962,1
Mechanics and Biomechanics Studies,1962,1
Mechanical Engineering and Vibrations Research,1962,1
Infrared Target Detection Methodologies,1962,1
Calibration and Measurement Techniques,1962,1
Oil Spill Detection and Mitigation,1962,1
Advanced MIMO Systems Optimization,1962,1
Wireless Communication Networks Research,1962,1
Advanced Wireless Communication Techniques,1962,1
Industrial Vision Systems and Defect Detection,1962,1
Textile materials and evaluations,1962,1
CCD and CMOS Imaging Sensors,1963,1
Advanced Optical Sensing Technologies,1963,1
Photocathodes and Microchannel Plates,1963,1
EEG and Brain-Computer Interfaces,1963,1
Neuroscience and Music Perception,1963,1
Sleep and Wakefulness Research,1963,1
Cultural Differences and Values,1963,1
Personality Traits and Psychology,1963,1
Asian Geopolitics and Ethnography,1963,1
China's Ethnic Minorities and Relations,1963,1
South Asian Studies and Conflicts,1963,1
Geomagnetism and Paleomagnetism Studies,1963,1
Ionosphere and magnetosphere dynamics,1963,1
Solar and Space Plasma Dynamics,1963,1
Behavioral and Psychological Studies,1963,1
Child and Animal Learning Development,1963,1
Decision-Making and Behavioral Economics,1963,1
Infrared Target Detection Methodologies,1963,1
Urban Heat Island Mitigation,1963,1
Satellite Image Processing and Photogrammetry,1963,1
Speech and dialogue systems,1963,1
Intelligent Tutoring Systems and Adaptive Learning,1963,1
Robotics and Automated Systems,1963,1
Behavioral and Psychological Studies,1964,2
Autism Spectrum Disorder Research,1964,1
Attention Deficit Hyperactivity Disorder,1964,1
Silicone and Siloxane Chemistry,1964,1
Algebraic and Geometric Analysis,1964,1
Polymer Science and Applications,1964,1
"Race, History, and American Society",1964,1
Historical and Contemporary Political Dynamics,1964,1
Problem and Project Based Learning,1964,1
Advanced Measurement and Detection Methods,1965,2
Advanced optical system design,1965,2
Color Science and Applications,1965,1
Optical Systems and Laser Technology,1965,1
Mathematics Education and Teaching Techniques,1965,1
Cognitive and developmental aspects of mathematical skills,1965,1
Mathematics Education and Pedagogy,1965,1
Advanced Statistical Methods and Models,1965,1
Statistical Methods and Inference,1965,1
Advanced Statistical Process Monitoring,1965,1
Power Line Communications and Noise,1965,1
Advanced Wireless Communication Techniques,1965,1
Electromagnetic Compatibility and Noise Suppression,1965,1
Target Tracking and Data Fusion in Sensor Networks,1965,1
Radar Systems and Signal Processing,1965,1
Advanced SAR Imaging Techniques,1965,1
Music Technology and Sound Studies,1965,1
Music Technology and Sound Studies,1966,1
Mathematics and Applications,1966,1
Advanced Topics in Algebra,1966,1
Advanced Computational Techniques and Applications,1966,1
Web Data Mining and Analysis,1966,1
Advanced Measurement and Detection Methods,1966,1
Image Enhancement Techniques,1966,1
Remote Sensing and LiDAR Applications,1966,1
Speech and Audio Processing,1966,1
Advanced Adaptive Filtering Techniques,1966,1
Antenna Design and Optimization,1966,1
Visual perception and processing mechanisms,1966,1
Linguistics and language evolution,1966,1
Medieval Literature and History,1966,1
Speech and dialogue systems,1966,1
Visual and Cognitive Learning Processes,1966,1
Communication in Education and Healthcare,1966,1
Accounting and Organizational Management,1966,1
Corporate Law and Human Rights,1966,1
Vibration and Dynamic Analysis,1966,1
Fluid dynamics and aerodynamics studies,1966,1
Rheology and Fluid Dynamics Studies,1966,1
Neurobiology of Language and Bilingualism,1967,1
Photonic Crystals and Applications,1967,1
Computational Geometry and Mesh Generation,1967,1
Facility Location and Emergency Management,1967,1
Vehicle Routing Optimization Methods,1967,1
Economic Growth and Productivity,1967,1
Cell Image Analysis Techniques,1967,1
Retinal Imaging and Analysis,1967,1
Optical measurement and interference techniques,1967,1
Advanced Optical Sensing Technologies,1967,1
Advanced Optical Imaging Technologies,1967,1
VLSI and Analog Circuit Testing,1967,1
Ultrasonics and Acoustic Wave Propagation,1967,1
Microwave and Dielectric Measurement Techniques,1967,1
Maritime Ports and Logistics,1967,1
Behavioral and Psychological Studies,1967,1
Behavioral Health and Interventions,1967,1
Social and Intergroup Psychology,1967,1
Critical Theory and Philosophy,1967,1
Philosophical and Historical Studies,1968,1
Phenomenology and Existential Philosophy,1968,1
Infrared Target Detection Methodologies,1968,1
Image Enhancement Techniques,1968,1
Color Science and Applications,1968,1
Image and Video Quality Assessment,1968,1
Multimedia Communication and Technology,1968,1
Power Line Communications and Noise,1968,1
Advanced Control Systems Optimization,1968,1
Process Optimization and Integration,1968,1
Membrane-based Ion Separation Techniques,1968,1
Labor market dynamics and wage inequality,1968,1
Employment and Welfare Studies,1968,1
Architecture and Art History Studies,1968,1
Renaissance and Early Modern Studies,1968,1
Historical Art and Architecture Studies,1968,1
"Adhesion, Friction, and Surface Interactions",1968,1
Physics and Engineering Research Articles,1968,1
Engineering and Materials Science Studies,1968,1
Material Properties and Applications,1968,1
Polymer Science and PVC,1968,1
Pigment Synthesis and Properties,1968,1
Education and Technology Integration,1968,1
Social and Educational Sciences,1968,1
Inertial Sensor and Navigation,1968,1
"Cultural, Linguistic, Economic Studies",1968,1
Psychotherapy Techniques and Applications,1968,1
Counseling Practices and Supervision,1968,1
"Counseling, Therapy, and Family Dynamics",1968,1
Fuzzy and Soft Set Theory,1968,1
Advanced Algebra and Logic,1968,1
"Rings, Modules, and Algebras",1968,1
Reliability and Maintenance Optimization,1969,1
Augmented Reality Applications,1969,1
Aerosol Filtration and Electrostatic Precipitation,1969,1
Probabilistic and Robust Engineering Design,1969,1
Algorithms and Data Compression,1969,1
Advanced Data Storage Technologies,1969,1
DNA and Biological Computing,1969,1
Underwater Acoustics Research,1969,1
Ultrasonics and Acoustic Wave Propagation,1969,1
Flow Measurement and Analysis,1969,1
Regional Development and Policy,1969,1
Regional Economics and Spatial Analysis,1969,1
Advanced Measurement and Detection Methods,1969,1
High voltage insulation and dielectric phenomena,1969,1
Power Transformer Diagnostics and Insulation,1969,1
Power Quality and Harmonics,1969,1
Advanced Multi-Objective Optimization Algorithms,1969,1
Antenna Design and Optimization,1969,1
advanced mathematical theories,1969,1
Plant biochemistry and biosynthesis,1969,1
Visual perception and processing mechanisms,1969,1
Impact of Light on Environment and Health,1969,1
Color Science and Applications,1969,1
History and Theory of Mathematics,1969,1
Mathematics Education and Teaching Techniques,1969,1
Mathematics and Applications,1969,1
Neural Networks and Applications,1969,1
Sensor Technology and Measurement Systems,1969,1
Fault Detection and Control Systems,1969,1
Infrared Target Detection Methodologies,1969,1
Manufacturing Process and Optimization,1970,2
Probability and Risk Models,1970,2
advanced mathematical theories,1970,2
Stochastic processes and statistical mechanics,1970,2
Historical and Linguistic Studies,1970,2
"Language, Linguistics, Cultural Analysis",1970,2
Scientific Measurement and Uncertainty Evaluation,1970,1
Advanced Sensor Technologies Research,1970,1
Linguistics and Cultural Studies,1970,1
Image and Signal Denoising Methods,1970,1
Advanced Data Compression Techniques,1970,1
Distributed Sensor Networks and Detection Algorithms,1970,1
Space Science and Extraterrestrial Life,1970,1
Occupational Health and Safety Research,1970,1
ICT Impact and Policies,1970,1
Geotechnical Engineering and Soil Stabilization,1970,1
Soil and Unsaturated Flow,1970,1
Geotechnical and construction materials studies,1970,1
South Asian Studies and Conflicts,1970,1
Behavioral and Psychological Studies,1970,1
Autism Spectrum Disorder Research,1970,1
Coding theory and cryptography,1970,1
graph theory and CDMA systems,1970,1
Analytic Number Theory Research,1970,1
Matrix Theory and Algorithms,1970,1
Mathematical functions and polynomials,1970,1
Iterative Methods for Nonlinear Equations,1970,1
Legal Issues in Education,1970,1
"Foucault, Power, and Ethics",1970,1
Political Economy and Marxism,1970,1
"Politics and Conflicts in Afghanistan, Pakistan, and Middle East",1970,1
Advanced X-ray Imaging Techniques,1970,1
Advanced Electron Microscopy Techniques and Applications,1970,1
Crystallography and Radiation Phenomena,1970,1
French Literature and Criticism,1970,1
Historical and Literary Studies,1970,1
Classical Philosophy and Thought,1970,1
Scheduling and Optimization Algorithms,1970,1
Supply Chain and Inventory Management,1970,1
Advanced Queuing Theory Analysis,1970,1
Color perception and design,1970,1
Phosphorus and nutrient management,1970,1
Extraction and Separation Processes,1970,1
Statistical Methods and Inference,1970,1
Statistical Methods in Clinical Trials,1970,1
Random Matrices and Applications,1970,1
Linguistics and language evolution,1970,1
Library Science and Administration,1970,1
Image Enhancement Techniques,1970,1
Urban Heat Island Mitigation,1970,1
Thermal Radiation and Cooling Technologies,1970,1
Forecasting Techniques and Applications,1971,2
Mitochondrial Function and Pathology,1971,1
Microtubule and mitosis dynamics,1971,1
Photosynthetic Processes and Mechanisms,1971,1
Protist diversity and phylogeny,1971,1
"Agriculture, Soil, Plant Science",1971,1
Energy and Environmental Systems,1971,1
Peanut Plant Research Studies,1971,1
IoT-based Smart Home Systems,1971,1
Discourse Analysis in Language Studies,1971,1
Metal complexes synthesis and properties,1971,1
Magnetism in coordination complexes,1971,1
Lanthanide and Transition Metal Complexes,1971,1
Vector-borne infectious diseases,1971,1
Bird parasitology and diseases,1971,1
Amphibian and Reptile Biology,1971,1
Optimization and Variational Analysis,1971,1
Advanced Numerical Methods in Computational Mathematics,1971,1
Contact Mechanics and Variational Inequalities,1971,1
Behavioral and Psychological Studies,1971,1
Aviation Industry Analysis and Trends,1971,1
"Insurance, Mortality, Demography, Risk Management",1971,1
Air Traffic Management and Optimization,1971,1
Scientific Research and Discoveries,1971,1
Underwater Acoustics Research,1971,1
Advanced Topology and Set Theory,1971,1
Advanced Banach Space Theory,1971,1
Human-Automation Interaction and Safety,1971,1
Ergonomics and Musculoskeletal Disorders,1971,1
Ergonomics and Human Factors,1971,1
Safety Warnings and Signage,1971,1
"Literature, Language, and Rhetoric Studies",1971,1
DNA and Biological Computing,1971,1
semigroups and automata theory,1971,1
Chemical Synthesis and Analysis,1971,1
Earthquake Detection and Analysis,1971,1
Geomagnetism and Paleomagnetism Studies,1971,1
Ionosphere and magnetosphere dynamics,1971,1
Education and Technology Integration,1971,1
EFL/ESL Teaching and Learning,1971,1
Subtitles and Audiovisual Media,1971,1
Innovative Teaching and Learning Methods,1971,1
Psychological Testing and Assessment,1971,1
Educational and Psychological Assessments,1971,1
Visual perception and processing mechanisms,1972,2
Color perception and design,1972,1
Color Science and Applications,1972,1
Algorithms and Data Compression,1972,1
Web Data Mining and Analysis,1972,1
Data Management and Algorithms,1972,1
Radiation Dose and Imaging,1972,1
Medical Imaging Techniques and Applications,1972,1
Digital Radiography and Breast Imaging,1972,1
Aerospace and Aviation Technology,1972,1
Aerospace Engineering and Applications,1972,1
Technical Engine Diagnostics and Monitoring,1972,1
Nuclear Structure and Function,1972,1
Hemoglobin structure and function,1972,1
Erythrocyte Function and Pathophysiology,1972,1
Chemical Thermodynamics and Molecular Structure,1972,1
Analytical Chemistry and Chromatography,1972,1
Chemistry and Stereochemistry Studies,1972,1
Multi-Criteria Decision Making,1972,1
Rough Sets and Fuzzy Logic,1972,1
Advanced Algebra and Logic,1972,1
"Leadership, Courage, and Heroism Studies",1972,1
Advanced Differential Equations and Dynamical Systems,1972,1
Numerical methods for differential equations,1972,1
Differential Equations and Numerical Methods,1972,1
Urban Planning and Landscape Design,1972,1
Marine animal studies overview,1972,1
Aviation Industry Analysis and Trends,1972,1
Transport and Economic Policies,1972,1
"Law, logistics, and international trade",1972,1
Infrastructure Maintenance and Monitoring,1972,1
Traffic and Road Safety,1972,1
Safety Warnings and Signage,1972,1
Advanced Optical Imaging Technologies,1972,1
Ophthalmology and Visual Impairment Studies,1972,1
Mathematical Dynamics and Fractals,1972,1
Advanced Combinatorial Mathematics,1972,1
Geometry and complex manifolds,1972,1
Image and Object Detection Techniques,1972,1
Digital Image Processing Techniques,1972,1
Optical measurement and interference techniques,1972,1
Advanced Statistical Methods and Models,1972,1
Fault Detection and Control Systems,1972,1
Advanced Statistical Process Monitoring,1972,1
Marine Sponges and Natural Products,1972,1
Chemical synthesis and alkaloids,1972,1
Animal Nutrition and Physiology,1972,1
Microbial infections and disease research,1972,1
Animal health and immunology,1972,1
Digital Filter Design and Implementation,1972,1
Mathematical Analysis and Transform Methods,1972,1
PAPR reduction in OFDM,1972,1
Advanced Adaptive Filtering Techniques,1973,2
Speech and Audio Processing,1973,1
Underwater Acoustics Research,1973,1
"Epistemology, Ethics, and Metaphysics",1973,1
Philosophical Ethics and Theory,1973,1
Philosophy and Theoretical Science,1973,1
"Cardiac, Anesthesia and Surgical Outcomes",1973,1
"Sexuality, Behavior, and Technology",1973,1
Gender Roles and Identity Studies,1973,1
Adolescent Sexual and Reproductive Health,1973,1
American Constitutional Law and Politics,1973,1
Radiation Dose and Imaging,1973,1
Advanced X-ray and CT Imaging,1973,1
Cerebrovascular and Carotid Artery Diseases,1973,1
Structural Engineering and Vibration Analysis,1973,1
"Modeling, Simulation, and Optimization",1973,1
Maritime and Coastal Archaeology,1973,1
Advanced Electron Microscopy Techniques and Applications,1973,1
Advancements in Photolithography Techniques,1973,1
Electron and X-Ray Spectroscopy Techniques,1973,1
Urban Design and Spatial Analysis,1973,1
Urban Planning and Valuation,1973,1
Urban Planning and Governance,1973,1
"Philosophy, Ethics, and Existentialism",1973,1
Phenomenology and Existential Philosophy,1973,1
Philosophy and Historical Thought,1973,1
Ship Hydrodynamics and Maneuverability,1973,1
Maritime Ports and Logistics,1973,1
Maritime Navigation and Safety,1973,1
Scientific Research and Discoveries,1973,1
Sensor Technology and Measurement Systems,1973,1
Advanced Numerical Analysis Techniques,1973,1
graph theory and CDMA systems,1973,1
Optics and Image Analysis,1973,1
Image and Signal Denoising Methods,1973,1
Digital Filter Design and Implementation,1973,1
Ionosphere and magnetosphere dynamics,1973,1
Plasma Diagnostics and Applications,1973,1
Laser-induced spectroscopy and plasma,1973,1
Behavioral and Psychological Studies,1973,1
"Bullying, Victimization, and Aggression",1973,1
Autism Spectrum Disorder Research,1973,1
Advanced Statistical Methods and Models,1973,1
Leaf Properties and Growth Measurement,1973,1
Genetics and Plant Breeding,1973,1
Matrix Theory and Algorithms,1973,1
Machine Learning and Data Classification,1973,1
Imbalanced Data Classification Techniques,1973,1
Water Systems and Optimization,1973,1
Teaching and Learning Programming,1973,1
Numerical Methods and Algorithms,1973,1
Acute Myeloid Leukemia Research,1974,3
Hematological disorders and diagnostics,1974,2
Optical Systems and Laser Technology,1974,2
Handwritten Text Recognition Techniques,1974,1
Optics and Image Analysis,1974,1
Mathematics and Applications,1974,1
Advanced Theoretical and Applied Studies in Material Sciences and Geometry,1974,1
3D Surveying and Cultural Heritage,1974,1
3D Modeling in Geospatial Applications,1974,1
Satellite Image Processing and Photogrammetry,1974,1
Advanced Numerical Analysis Techniques,1974,1
Advanced Banach Space Theory,1974,1
Mathematical Analysis and Transform Methods,1974,1
Spatial Cognition and Navigation,1974,1
Visual perception and processing mechanisms,1974,1
Ergonomics and Musculoskeletal Disorders,1974,1
Acute Lymphoblastic Leukemia research,1974,1
X-ray Diffraction in Crystallography,1974,1
Thermal and Kinetic Analysis,1974,1
Crystallization and Solubility Studies,1974,1
Radar Systems and Signal Processing,1974,1
Guidance and Control Systems,1974,1
Radio Wave Propagation Studies,1974,1
Astronomical Observations and Instrumentation,1974,1
Adaptive optics and wavefront sensing,1974,1
Malaria Research and Control,1974,1
Vector-borne infectious diseases,1974,1
Coccidia and coccidiosis research,1974,1
Radiation Dose and Imaging,1974,1
Advanced X-ray and CT Imaging,1974,1
Cerebrovascular and Carotid Artery Diseases,1974,1
Canadian Identity and History,1974,1
Historical and Literary Studies,1974,1
"Historical, Religious, and Philosophical Studies",1974,1
Historical Astronomy and Related Studies,1974,1
Child and Animal Learning Development,1974,1
Neurobiology of Language and Bilingualism,1974,1
Hearing Impairment and Communication,1974,1
Experimental Behavioral Economics Studies,1974,1
Retinoids in leukemia and cellular processes,1974,1
Engineering and Materials Science Studies,1974,1
Soil Mechanics and Vehicle Dynamics,1974,1
Theoretical and Computational Physics,1974,1
Stochastic processes and statistical mechanics,1974,1
High-Energy Particle Collisions Research,1974,1
Education and Technology Integration,1974,1
Children's Physical and Motor Development,1974,1
Collaborative Teaching and Inclusion,1974,1
Behavioral and Psychological Studies,1974,1
Autism Spectrum Disorder Research,1974,1
Big Data and Business Intelligence,1974,1
Business Strategy and Innovation,1974,1
Competitive and Knowledge Intelligence,1974,1
Classical Antiquity Studies,1975,2
Planetary Science and Exploration,1975,2
Biblical Studies and Interpretation,1975,2
Christian Theology and Mission,1975,1
"Religion, Society, and Development",1975,1
Diabetes and associated disorders,1975,1
Pancreatic function and diabetes,1975,1
Diet and metabolism studies,1975,1
Asian Studies and History,1975,1
Data Management and Algorithms,1975,1
Semantic Web and Ontologies,1975,1
Advanced Database Systems and Queries,1975,1
Asian Culture and Media Studies,1975,1
Cinema and Media Studies,1975,1
nanoparticles nucleation surface interactions,1975,1
Crystallization and Solubility Studies,1975,1
Solidification and crystal growth phenomena,1975,1
Social Sciences and Policies,1975,1
"Employment, Labor, and Gender Studies",1975,1
Satellite Communication Systems,1975,1
Spacecraft Design and Technology,1975,1
Advanced Topology and Set Theory,1975,1
Finite Group Theory Research,1975,1
Limits and Structures in Graph Theory,1975,1
Advanced Control Systems Optimization,1975,1
Social and Intergroup Psychology,1975,1
Cultural Differences and Values,1975,1
Evolutionary Psychology and Human Behavior,1975,1
Archaeology and Historical Studies,1975,1
Historical and Linguistic Studies,1975,1
Microtubule and mitosis dynamics,1975,1
Nuclear Structure and Function,1975,1
Plant Genetic and Mutation Studies,1975,1
Astro and Planetary Science,1975,1
Geomagnetism and Paleomagnetism Studies,1975,1
Rocket and propulsion systems research,1975,1
Space Exploration and Technology,1975,1
Behavioral and Psychological Studies,1975,1
Autism Spectrum Disorder Research,1975,1
Child Development and Digital Technology,1975,1
Body Composition Measurement Techniques,1975,1
Psychology and Mental Health,1975,1
"Health, Medicine and Society",1975,1
Multi-Criteria Decision Making,1975,1
Environmental and Sediment Control,1975,1
Water resources management and optimization,1975,1
Invertebrate Immune Response Mechanisms,1975,1
Marine Biology and Environmental Chemistry,1975,1
Marine Sponges and Natural Products,1975,1
Historical and Religious Studies of Rome,1975,1
